Organization Name,Topic area,URL,Main Web Page,Mission Statement,Policy Isssue Resources,Campaign and Advocacy,Public Facing Advocacy Writing,Newsletters,Annual reports,Speeches,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/_files/ugd/64f95e_e2b39acd5d124e44b4661503d8f19ec3.pdf,,,,1,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/_files/ugd/64f95e_7e2942ba6daf4ad097b9981a3939b840.pdf,,,,1,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/_files/ugd/64f95e_205da2b124644d91a5cfa03078baf9f6.pdf,,,,1,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/_files/ugd/64f95e_db08d1416e004f448e00fbb64d45b33d.pdf,,,,1,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/_files/ugd/64f95e_c74c7f3866c74cda9e47c7de48459f24.pdf,,,,1,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/_files/ugd/64f95e_31649e341fed4c8e9a73dd9922e7b6b1.pdf,,,,1,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/_files/ugd/64f95e_b61cde3bdaeb4e359c51cef92967bf33.pdf,,,,1,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/_files/ugd/64f95e_2e583e35cefe407e9bb8a6697d059a5d.pdf,,,,1,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/_files/ugd/64f95e_1f3bac8ad8814aaba8ab15e28b624035.pdf,,,,1,,,,,,,,,,,,,,,,,,,
Justice in Motion,"Discrimination, Detention, and Deportation: Immigration & Refugees",https://www.justiceinmotion.org/_files/ugd/64f95e_21de03e73fc8443bb31e775274faf8e4.pdf,,,,1,,,,,,,,,,,,,,,,,,,
