Organization Name,Topic area,URL,Main Web Page,Mission Statement,Policy Isssue Resources,Campaign and Advocacy,Public Facing Advocacy Writing,Newsletters,Annual reports,Speeches,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2012/2012-know-your-rights.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2012/20120422-memo-vacating-convictions.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2012/20120422-summary-vacating-convictions.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2016/20160930-loitering-prostitution-new-york-state.pdf,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/publications/reports/public-health-crisis/,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/publications/reports/raids-and-trafficking/,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/publications/reports/behind-closed-doors/,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/publications/reports/revolving-door/,,,1,,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://swp.urbanjustice.org/sexual-liberation-giving-circle/,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2020/11/11/ohio-anti-trafficking-operation-harms-sex-workers/,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2020/01/01/what-to-look-for-in-criminal-justice-reform-in-new-york-in-2020/,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2019/06/12/bill-that-could-protect-trafficking-survivors-from-deportation-has-yet-to-reach-floor-in-albany/,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2018/12/12/the-right-to-mother-and-do-sex-work/,,,,1,,,,,
