Organization Name,Topic area,URL,Main Web Page,Mission Statement,Policy Isssue Resources,Campaign and Advocacy,Public Facing Advocacy Writing,Newsletters,Annual reports,SpeechWTranscript,SpeechNoTranscript,NOTES,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/sharqawi-al-hajj-appears-guant-namo-review-board-after-multiple,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/gitmo-torture-survivor-asks-court-reject-eleventh-hour-trump-bid,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/appeals-court-rules-gtmo-torture-victim-should-be-seen-independent,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/international-criminal-court-authorizes-investigation-us-torture,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/international-criminal-court-urged-reverse-decision-blocked,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/judge-denies-independent-medical-eval-suicidal-gitmo-prisoner,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/human-rights-attorneys-outraged-pompeo-state-torturer-haspel-cia,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/human-rights-group-urges-international-court-investigate-us,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/gtmo-attorneys-only-reason-trump-suggests-sending-attacker-gtmo,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/ccr-warns-us-isis-detainee-must-be-charged-or-released,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/human-rights-organizations-urge-iachr-hold-us-accountable-guant,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/ccr-seeks-outside-medical-evaluation-ailing-guant-namo-client,,,,,1,,,,,,,,,,,,,,,,,,,
